         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      568    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_decoders.py:237(decode)
  526/381    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      505    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      452    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
  445/441    0.013    0.000    0.041    0.000 {built-in method builtins.__build_class__}
      444    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      409    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      409    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      407    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      403    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:461(<genexpr>)
      395    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1246(<genexpr>)
      354    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      344    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
    343/6    0.001    0.000    3.716    0.619 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      338    0.001    0.000    1.219    0.004 /usr/lib/python3.12/ssl.py:1095(read)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:53(__iadd__)
      338    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:57(__bool__)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:364(receive_data)
      338    0.002    0.000    1.227    0.004 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_backends/sync.py:124(read)
      338    1.218    0.004    1.218    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      338    0.001    0.000    1.220    0.004 /usr/lib/python3.12/ssl.py:1226(recv)
      333    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:67(_extract)
      311    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      303    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:217(our_state)
      301    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      298    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      296    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      296    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      295    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:342(_respond_to_state_changes)
      295    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:299(_fire_event_triggered_transitions)
      294    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
      293    0.003    0.000    0.007    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:272(_process_event)
      293    0.001    0.000    0.002    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:316(_fire_state_triggered_transitions)
      293    0.001    0.000    0.003    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:275(process_event)
      288    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
      287    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      287    0.004    0.000    1.263    0.004 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/http11.py:209(_receive_event)
      287    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:260(_server_switch_event)
      285    0.001    0.000    0.187    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:935(iter_raw)
      285    0.001    0.000    0.209    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:884(iter_bytes)
      285    0.001    0.000    0.185    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
      285    0.000    0.000    0.185    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/http11.py:330(__iter__)
      285    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_events.py:299(__init__)
      285    0.000    0.000    0.185    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/connection_pool.py:401(__iter__)
      285    0.000    0.000    0.186    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_transports/default.py:125(__iter__)
      285    0.000    0.000    0.186    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_client.py:152(__iter__)
      284    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      284    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      284    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      284    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      284    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
  280/166    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1258(__hash__)
      279    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      279    0.000    0.000    0.020    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_decoders.py:95(decode)
    276/3    0.024    0.000    3.715    1.238 {built-in method builtins.exec}
      270    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
      254    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:166(encoding)
      231    0.001    0.000    0.002    0.000 /usr/lib/python3.12/dataclasses.py:701(_is_type)
      230    0.000    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      227    0.001    0.000    0.812    0.004 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      227    0.001    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
      219    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      216    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:59(_is_sunder)
      216    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      214    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      211    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:785(__delattr__)
      207    0.005    0.000    1.310    0.006 <frozen importlib._bootstrap_external>:1593(find_spec)
      207    0.000    0.000    0.772    0.004 <frozen importlib._bootstrap_external>:159(_path_isfile)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
