('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         956122 function calls (931836 primitive calls) in 13.337 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
       74    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      517    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      610    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        8    0.000    0.000    0.003    0.000 feedparser.py:216(_parsegen)
      518    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      374    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
       75    0.000    0.000    0.002    0.000 css_parser.py:542(parse_tag_pattern)
        2    0.000    0.000    0.003    0.001 connection.py:424(request)
      191    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
      382    0.000    0.000    0.001    0.000 _compiler.py:570(isstring)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      323    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
       12    0.000    0.000    0.001    0.000 message.py:529(get_all)
        9    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
       20    0.000    0.000    0.124    0.006 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       52    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
        3    0.000    0.000    0.238    0.079 utils.py:1(<module>)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      258    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      2/1    0.000    0.000    3.160    3.160 sessions.py:673(send)
  195/193    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.089    0.004 <frozen zipimport>:64(__init__)
    80/47    0.000    0.000    1.399    0.030 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       43    0.000    0.000    0.001    0.000 _policybase.py:301(header_source_parse)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
      439    0.000    0.000    0.001    0.000 socket.py:89(<lambda>)
      217    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
       20    0.000    0.000    0.173    0.009 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.010    0.010 socket.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        3    0.000    0.000    0.001    0.000 url.py:367(parse_url)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      303    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
       73    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
        1    0.000    0.000    0.146    0.146 dammit.py:1(<module>)
       13    0.000    0.000    0.001    0.000 client.py:1292(putheader)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      553    0.000    0.000    0.001    0.000 typing.py:935(__eq__)
       57    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
        6    0.000    0.000    0.011    0.002 cookiejar.py:1680(extract_cookies)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      440    0.000    0.000    0.001    0.000 socket.py:94(<lambda>)
       16    0.000    0.000    0.001    0.000 message.py:494(get)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      437    0.000    0.000    0.001    0.000 socket.py:79(<lambda>)
       21    0.000    0.000    0.001    0.000 parse.py:947(quote_from_bytes)
      438    0.000    0.000    0.001    0.000 socket.py:84(<lambda>)
      3/2    0.000    0.000    1.585    0.793 sessions.py:159(resolve_redirects)
      259    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       49    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       12    0.000    0.000    0.001    0.000 cookies.py:349(set_cookie)
       12    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
        1    0.000    0.000    0.073    0.073 pathlib.py:812(PureWindowsPath)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.009    0.009 ssl_.py:225(create_urllib3_context)
      516    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.085    0.042 client.py:213(_read_headers)
        5    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
        2    0.000    0.000    1.400    0.700 connection.py:540(getresponse)
        1    0.000    0.000    0.253    0.253 css_parser.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       21    0.000    0.000    0.001    0.000 parse.py:871(quote)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
        2    0.000    0.000    0.404    0.202 connection.py:1(<module>)
       62    0.000    0.000    0.003    0.000 typing.py:1458(copy_with)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.000    0.000 response.py:689(HTTPResponse)
       62    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      191    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        6    0.000    0.000    0.001    0.000 cookiejar.py:232(http2time)
        1    0.000    0.000    0.797    0.797 __init__.py:211(__init__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    1.397    0.699 client.py:324(begin)
        2    0.000    0.000    2.760    1.380 connectionpool.py:377(_make_request)
       13    0.000    0.000    0.001    0.000 queue.py:154(get)
       64    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.042    0.021 models.py:1(<module>)
    44/32    0.000    0.000    0.025    0.001 css_parser.py:579(parse_pseudo_class)
      169    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      176    0.000    0.000    0.017    0.000 _parser.py:98(closegroup)
