         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4049    0.002    0.000    0.002    0.000 /usr/lib/python3.12/html/parser.py:128(clear_cdata_mode)
      284    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     2830    0.002    0.000    0.003    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:292(matches_string)
      982    0.002    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3551    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:259(_base_match)
      175    0.001    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
       22    0.001    0.000    0.008    0.000 /usr/lib/python3.12/enum.py:528(__new__)
      154    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
    154/3    0.001    0.000    3.724    1.241 <frozen importlib._bootstrap>:911(_load_unlocked)
      144    0.001    0.000    0.010    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
      227    0.001    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
     1378    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
      296    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      354    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      231    0.001    0.000    0.002    0.000 /usr/lib/python3.12/dataclasses.py:701(_is_type)
     1064    0.001    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
      285    0.001    0.000    0.209    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:884(iter_bytes)
      983    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
      293    0.001    0.000    0.002    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:316(_fire_state_triggered_transitions)
      285    0.001    0.000    0.185    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
    343/6    0.001    0.000    3.716    0.619 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1250    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      969    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      148    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      156    0.001    0.000    1.392    0.009 <frozen importlib._bootstrap_external>:1491(_get_spec)
      444    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    148/3    0.001    0.000    3.724    1.241 <frozen importlib._bootstrap_external>:989(exec_module)
      338    0.001    0.000    1.219    0.004 /usr/lib/python3.12/ssl.py:1095(read)
       89    0.001    0.000    0.003    0.000 /usr/lib/python3.12/dataclasses.py:760(_get_field)
    71/15    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
      338    0.001    0.000    1.220    0.004 /usr/lib/python3.12/ssl.py:1226(recv)
      177    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      602    0.001    0.000    1.932    0.003 <frozen importlib._bootstrap_external>:140(_path_stat)
       68    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      285    0.001    0.000    0.187    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:935(iter_raw)
     1254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      150    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     4297    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:2414(__bool__)
      344    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1708(convert_class)
     2659    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      284    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      285    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_events.py:299(__init__)
      293    0.001    0.000    0.003    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:275(process_event)
      227    0.001    0.000    0.812    0.004 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      612    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      162    0.001    0.000    0.006    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
        1    0.001    0.001    0.001    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/hpack/huffman_table.py:1(<module>)
      154    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      407    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      639    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       37    0.001    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:1047(_generic_class_getitem)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     1938    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_exceptions.py:7(map_exceptions)
      190    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
     1547    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:224(their_state)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:364(receive_data)
      338    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:53(__iadd__)
       43    0.001    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:175(get_annotations)
      150    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       85    0.001    0.000    0.009    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
      295    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:342(_respond_to_state_changes)
       51    0.001    0.000    0.006    0.000 /usr/lib/python3.12/typing.py:687(Union)
      676    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:60(__len__)
      163    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      917    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       31    0.001    0.000    0.010    0.000 /usr/lib/python3.12/dataclasses.py:568(_init_fn)
      814    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/element.py:2355(get)
      284    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
  149/142    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.001    0.001    1.306    1.306 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/anyio/__init__.py:1(<module>)
        1    0.001    0.001    0.016    0.016 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:641(text)
       60    0.001    0.000    0.001    0.000 /usr/lib/python3.12/functools.py:35(update_wrapper)
      148    0.001    0.000    0.640    0.004 <frozen importlib._bootstrap_external>:1202(path_stats)
       39    0.001    0.000    0.002    0.000 /usr/lib/python3.12/typing.py:1096(_generic_init_subclass)
       34    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:104(maybe_extract_lines)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      124    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
       68    0.000    0.000    0.006    0.000 <frozen abc>:105(__new__)
      333    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:67(_extract)
